sep=,
"Time","active_db_connections saturation","cpu saturation","disk_space saturation","memory saturation","open_fds saturation","open_ruby_fds saturation","redis_clients saturation","single_node_cpu saturation","single_threaded_cpu saturation"
2022-12-28 07:15:00,0.182,0.402,0.449,0.786,0.00147,0.00784,0.00750,0.402,0.0241
2022-12-28 07:30:00,0.200,0.402,0.450,0.787,0.00147,0.00310,0.00830,0.402,0.0282
2022-12-28 07:45:00,0.200,0.405,0.453,0.787,0.00160,0.00310,0.00800,0.405,0.0275
2022-12-28 08:00:00,0.300,0.403,0.457,0.784,0.00147,0.00308,0.00780,0.403,0.0318
2022-12-28 08:15:00,0.300,0.381,0.461,0.754,0.00147,0.00316,0.00830,0.381,0.0147
2022-12-28 08:30:00,0.167,0.384,0.464,0.757,0.00147,0.00314,0.00780,0.384,0.0148
2022-12-28 08:45:00,0.182,0.391,0.468,0.761,0.00147,0.00304,0.00710,0.391,0.0154
2022-12-28 09:00:00,0.182,0.394,0.471,0.756,0.00147,0.00310,0.00860,0.394,0.0154
2022-12-28 09:15:00,0.167,0.393,0.473,0.753,0.00147,0.00314,0.00810,0.393,0.0164
2022-12-28 09:30:00,0.167,0.393,0.477,0.755,0.00147,0.00310,0.00740,0.393,0.0163
2022-12-28 09:45:00,0.273,0.394,0.480,0.756,0.00147,0.00308,0.00790,0.394,0.0170
2022-12-28 10:00:00,0.182,0.394,0.483,0.759,0.00147,0.00308,0.00750,0.394,0.0182
2022-12-28 10:15:00,0.200,0.399,0.486,0.760,0.00147,0.00314,0.00800,0.399,0.0173
2022-12-28 10:30:00,0.167,0.394,0.489,0.758,0.00147,0.00306,0.00720,0.394,0.0157
2022-12-28 10:45:00,0.200,0.395,0.492,0.759,0.00147,0.00314,0.00850,0.395,0.0156
2022-12-28 11:00:00,0.200,0.396,0.494,0.766,0.00147,0.00308,0.00780,0.396,0.0158
2022-12-28 11:15:00,0.182,0.399,0.497,0.772,0.00147,0.00300,0.00750,0.399,0.0161
2022-12-28 11:30:00,0.182,0.399,0.500,0.775,0.00147,0.00312,0.00800,0.399,0.0163
2022-12-28 11:45:00,0.200,0.405,0.502,0.774,0.00147,0.00310,0.00730,0.405,0.0163
2022-12-28 12:00:00,0.182,0.406,0.505,0.768,0.00147,0.00308,0.00870,0.406,0.0173
2022-12-28 12:15:00,0.231,0.439,0.507,0.772,0.00160,0.00314,0.00810,0.439,0.0159
2022-12-28 12:30:00,0.200,0.406,0.507,0.742,0.00120,0.00310,0.00770,0.406,0.0155
2022-12-28 12:45:00,0.200,0.405,0.510,0.743,0.00120,0.00310,0.00820,0.405,0.0154
2022-12-28 13:00:00,0.167,0.408,0.512,0.750,0.00120,0.00314,0.00800,0.408,0.0153
2022-12-28 13:15:00,0.200,0.405,0.513,0.753,0.00120,0.00316,0.00790,0.405,0.0154
2022-12-28 13:30:00,0.273,0.407,0.515,0.758,0.00120,0.00302,0.00730,0.407,0.0146
2022-12-28 13:45:00,0.182,0.406,0.518,0.754,0.00120,0.00308,0.00770,0.406,0.0142
2022-12-28 14:00:00,0.231,0.410,0.521,0.760,0.00120,0.00310,0.00840,0.410,0.0151
2022-12-28 14:15:00,0.182,0.408,0.523,0.766,0.00120,0.00304,0.00740,0.408,0.0146
2022-12-28 14:30:00,0.182,0.412,0.526,0.766,0.00120,0.00308,0.00770,0.412,0.0154
2022-12-28 14:45:00,0.231,0.411,0.529,0.767,0.00120,0.00310,0.00840,0.411,0.0155
2022-12-28 15:00:00,0.200,0.417,0.531,0.768,0.00120,0.00310,0.00800,0.417,0.0151
2022-12-28 15:15:00,0.200,0.411,0.534,0.776,0.00120,0.00314,0.00740,0.411,0.0152
2022-12-28 15:30:00,0.167,0.410,0.536,0.769,0.00120,0.00310,0.00760,0.410,0.0161
2022-12-28 15:45:00,0.182,0.416,0.539,0.779,0.00120,0.00310,0.00820,0.416,0.0162
2022-12-28 16:00:00,0.200,0.418,0.541,0.780,0.00120,0.00298,0.00720,0.418,0.0152
2022-12-28 16:15:00,0.182,0.416,0.544,0.786,0.00120,0.00312,0.00830,0.416,0.0154
2022-12-28 16:30:00,0.182,0.414,0.546,0.783,0.00120,0.00314,0.00840,0.414,0.0150
2022-12-28 16:45:00,0.200,0.410,0.549,0.783,0.00120,0.00316,0.00840,0.410,0.0147
2022-12-28 17:00:00,0.231,0.412,0.552,0.786,0.00120,0.00308,0.00790,0.412,0.0174
2022-12-28 17:15:00,0.273,0.412,0.552,0.786,0.00120,0.00312,0.00850,0.412,0.0148
2022-12-28 17:30:00,0.182,0.449,0.553,0.789,0.00120,0.00302,0.00750,0.449,0.0163
2022-12-28 17:45:00,0.273,0.414,0.556,0.786,0.00120,0.00312,0.00780,0.414,0.0149
2022-12-28 18:00:00,0.182,0.418,0.558,0.790,0.00120,0.00302,0.00720,0.418,0.0152
2022-12-28 18:15:00,0.167,0.399,0.561,0.788,0.00120,0.00324,0.00810,0.399,0.0154
2022-12-28 18:30:00,0.154,0.421,0.562,0.785,0.00120,0.00318,0.00750,0.421,0.0162
2022-12-28 18:45:00,0.182,0.413,0.561,0.786,0.00120,0.00310,0.00830,0.413,0.0161
2022-12-28 19:00:00,0.182,0.419,0.563,0.789,0.00120,0.00306,0.00760,0.419,0.0168
2022-12-28 19:15:00,0.273,0.421,0.566,0.790,0.00120,0.00314,0.00840,0.421,0.0155
2022-12-28 19:30:00,0.200,0.417,0.568,0.761,0.00120,0.00306,0.00710,0.417,0.0151
2022-12-28 19:45:00,0.182,0.419,0.570,0.762,0.00120,0.00308,0.00820,0.419,0.0139
2022-12-28 20:00:00,0.200,0.420,0.573,0.761,0.00120,0.00314,0.00770,0.420,0.0172
2022-12-28 20:15:00,0.200,0.417,0.575,0.758,0.00120,0.00314,0.00740,0.417,0.0167
2022-12-28 20:30:00,0.167,0.416,0.577,0.761,0.00120,0.00312,0.00820,0.416,0.0163
2022-12-28 20:45:00,0.182,0.420,0.579,0.763,0.00120,0.00310,0.00810,0.420,0.0149
2022-12-28 21:00:00,0.167,0.421,0.582,0.756,0.00120,0.00310,0.00840,0.421,0.0153
2022-12-28 21:15:00,0.214,0.415,0.582,0.759,0.00120,0.00314,0.00850,0.415,0.0153
2022-12-28 21:30:00,0.154,0.416,0.583,0.755,0.00120,0.00312,0.00820,0.416,0.0166
