source,cpu,mem,lat
u: Bogidon,0.4287407407407408,0.7358585067108746,0.04275502337288242
u: BrianMulhall,0.41684139249734553,0.7636600316020384,0.02855607801646154
u: ButuzGOL,0.430905899937533,0.764995064391418,0.028993864896778198
u: C-Aguirre017,0.42977396309764443,0.7628389842449359,0.028765334214234363
u: CGenie,0.4249956166946878,0.7632693178747982,0.02926600534597519
u: CRogers,0.42816054053742,0.7656772612463547,0.028776640572937738
u: CalvinYeh,0.4283836427042945,0.7678438773665253,0.029188055682106053
u: CarlosAlbertoFigueiredo,0.48364762834019775,0.7295590919216147,0.04446537789129376
u: CesarValiente,0.42447299206228206,0.7642056995609587,0.028665470636982562
u: ChristianWitts,0.46987473093190546,0.7538318169677222,0.03202033559919458
u: ChtiSuisse,0.42846089653105596,0.7624403754560484,0.028774237393671492
u: ClayDowling,0.4283283930541681,0.7649169088599825,0.028791825396246574
u: CoSkr,0.4272101106502302,0.7633865482615706,0.028696255224503423
u: CoalUnicorn,0.4280816404569356,0.7653225252522037,0.028820140990539048
u: CodedNil,0.4387280153782372,0.7614807534438475,0.029854384380754283
u: Cophy08,0.42588068493182163,0.7649835428009811,0.028624721898178204
u: Copser,0.42684538659198645,0.7653123478587786,0.028605284871649976
u: Cosrnos,0.4284486856171676,0.7643683798388572,0.028710797988356098
u: Courtneybpeters,0.5923333333333327,0.7350898928342977,0.042048211508553715
u: Crydust,0.425466917851778,0.7648813684634804,0.028692982502028584
u: DORNINEM,0.4409293175375004,0.7572386807274218,0.029859393820598518
u: DRoppelt,0.42995513686695147,0.7638700910691064,0.02883334438799944
u: DTSCode,0.42439822271261923,0.764712290727493,0.02861156609819243
u: Dakuan,0.4273400182412564,0.7646142620961489,0.02869390851856199
u: Darkfish,0.4327603766230398,0.7296076822866616,0.04298157473787164
u: DavidAbram,0.4404158579381416,0.7430465823704716,0.03223419737558761
u: DemHydraz,0.42974419911205486,0.7650827936435063,0.02886219439964909
u: DevCamp4Kids,0.5348011975026082,0.74601459167203,0.03733645529192638
u: Dholub,0.42609578761398176,0.7585038713053703,0.028819472119436355
u: DiurnaSys,0.5143730158730075,0.7359901799152063,0.038683370327262004
u: EdZava,0.42737680490655006,0.7630018556628888,0.029747027425772978
u: Efreak,0.46315307389547833,0.7632826629686467,0.03197344431867015
u: ElvisAttro,0.4247510804362153,0.7654476167585643,0.028572356771906875
u: ErikBoesen,0.4089748666480364,0.7668527093351679,0.028921315444395735
u: EvertonSilva,0.4293775495996197,0.7656973156780984,0.028826031400297786
u: FLOZi,0.5649350999335965,0.7330998727976624,0.040913514986087224
u: FUT,0.43004734677952455,0.7640477130385631,0.028827820777855867
u: Falkirks,0.42780532648302183,0.7640988942696838,0.028785097531507386
u: Fezzer,0.4740681199264307,0.7488284852166769,0.03516115606479197
u: ForNeVeR,0.43224683491581495,0.7613422759586704,0.029124552547344935
u: FraBle,0.42535857259006127,0.7656082987795974,0.028917067077324148
u: Georotzen,0.4229211379101041,0.7635681186944584,0.028467182560029617
u: Gerst20051,0.4229446775712697,0.7647176900715736,0.02951725168041232
u: GhitaB,0.4576676617831356,0.7561567442024083,0.031773224027598294
u: GhostofGoes,0.4281363741707917,0.767003648127077,0.029081003040184163
u: Godde,0.4671608185520266,0.7590272179143894,0.032255876921357916
u: HEGARSSmx,0.4593793978443809,0.7519185778524214,0.03515075471464011
u: HabibMAALEM,0.42450958987520826,0.764224660894456,0.028494758083557635
u: HanSolo,0.4292244999931818,0.765035664380989,0.02880699498349921
u: Haseeb-Qureshi,0.4281973374313289,0.7648260420966075,0.028706845485407143
u: HiddenSheepman,0.42721320016402753,0.7649495755924169,0.028684098940833683
u: Hoto-Cocoa,0.42791969093926757,0.7631891380666341,0.02882287949744561
u: HunterEl,0.4308955316326503,0.7619968568801209,0.02896569309421566
